x,y
30.87988910036786,134.3376606660196
30.99610980054879,126.99726120519345
30.92851364022183,118.37103149414222
30.701844748252647,108.1673624929929
30.62338655484624,96.7972080791943
30.869040704384716,85.37895769293019
31.233036932585616,75.17579029696604
31.368870482119892,66.97223402441573
31.229640058843945,60.93329395316663
31.168629147931462,56.915160077577816
31.588034879281157,54.73364976269767
32.5703605934745,54.08932074300101
33.90907563927541,54.38813405333693
35.43077964820313,54.85831111272336
37.16255025384528,54.95573785417433
39.15678576699875,54.63515800842682
41.26114193294571,54.19458866709357
43.178155650984365,53.896976474569215
44.74957726067141,53.78980994849677
46.094312209498774,53.82952069947386
47.43023833560579,54.023104876917756
48.8276967263516,54.34423571762497
50.20854444407818,54.56243561340722
51.54861071306768,54.28765956431102
52.966808869143584,53.24710795209098
54.56590609043674,51.47793648508285
56.26307758808627,49.2100750337581
57.88241742159396,46.61366952339025
59.418248598008724,43.74991877569986
61.11748878821134,40.76461576608375
63.2444472224359,38.009334235335814
65.80763024932494,35.85769878335809
68.5848562456981,34.402997034326496
71.3944798298145,33.41151287687946
74.24259536293225,32.59580372580675
77.15687715387213,31.867073506151886
79.95681608389718,31.266606647038493
82.31387554997707,30.712931967719836
84.073156205847,29.951551552439895
85.44344728546471,28.818389310380446
86.80631829237798,27.48867619934419
88.36982625916465,26.36763565926325
90.08077453385634,25.720780455949207
91.86690083652488,25.469207878782743
93.85713421381051,25.364502973060784
96.27468446343771,25.286021394789795
99.14381670029063,25.280785611043573
102.20597036056685,25.33688707025353
105.17282566711154,25.24531221062347
108.0082009873243,24.78443084805121
110.89398724209325,24.021830953768283
113.93736267047261,23.349035827643732
116.99361925603408,23.178025115091458
119.81452142725439,23.630098090422774
122.31694245887064,24.53534854610644
124.63427099523405,25.67496282261318
126.9080617238828,26.938662477059736
129.09920370550876,28.237308146921457
131.0461542006113,29.349339172787843
132.6738609416071,29.948076059573033
134.08883087413497,29.80077242255433
135.46873921551514,28.90861030244504
136.9095177970329,27.44249651084588
138.40730084917408,25.576843823933743
139.95443167468042,23.408379573344146
141.60379644417148,21.001284280051888
143.43978305774036,18.453282216527157
145.5257924430659,15.906496267640998
147.8916571364124,13.53504212603581
150.5307698152536,11.548118971816963
153.3688108641237,10.168537880232636
